variant,label,task_id,scenario,required_apps,trajectory_steps,success,passed,failed,total,pass_percentage,elapsed_seconds,code_responses,lm_calls,finish_length_count,content_null_count,content_empty_count,max_steps_reached,python_error_events,syntax_error_events,name_error_events,attribute_error_events,type_error_events,invalid_api_events,wrong_argument_events,http_4xx_events,auth_error_events,complete_success_calls,complete_fail_calls,complete_ack_events,false_success_declaration
base,原始 Qwen3-8B,e85d92a_1,e85d92a,spotify,7,False,1,1,2,50.0,219.716,0,50,0,0,0,True,0,0,0,0,0,0,0,0,0,0,0,0,False
base,原始 Qwen3-8B,e85d92a_2,e85d92a,spotify,7,False,1,1,2,50.0,28.283,1,1,0,0,0,False,,,,,,,,,,0,1,,False
base,原始 Qwen3-8B,e85d92a_3,e85d92a,spotify,7,False,1,1,2,50.0,19.582,1,1,0,0,0,False,,,,,,,,,,0,1,,False
base,原始 Qwen3-8B,302c169_1,302c169,phone,10,False,3,5,8,37.5,114.23,7,8,1,1,1,False,2,0,0,0,0,0,0,1,1,0,0,0,False
base,原始 Qwen3-8B,302c169_2,302c169,phone,10,True,8,0,8,100.0,63.085,6,6,0,0,0,False,2,0,0,0,0,0,0,1,1,0,0,0,False
base,原始 Qwen3-8B,302c169_3,302c169,phone,10,False,2,6,8,25.0,140.037,10,10,0,0,0,False,5,0,0,0,0,0,0,5,5,0,1,0,False
base,原始 Qwen3-8B,34d9492_1,34d9492,file_system,8,False,3,2,5,60.0,390.261,27,28,1,1,1,False,21,0,0,1,0,1,1,15,14,0,3,0,False
base,原始 Qwen3-8B,34d9492_2,34d9492,file_system,8,False,4,1,5,80.0,111.113,13,13,0,0,0,False,7,0,1,0,0,0,1,2,1,0,0,0,False
base,原始 Qwen3-8B,34d9492_3,34d9492,file_system,8,False,4,1,5,80.0,130.133,17,17,0,0,0,False,10,0,1,0,0,0,2,3,1,0,0,0,False
base,原始 Qwen3-8B,60d0b5b_1,60d0b5b,phone+venmo,10,False,0,7,7,0.0,192.944,14,17,1,1,1,False,7,0,0,0,0,0,2,6,4,0,0,0,False
base,原始 Qwen3-8B,60d0b5b_2,60d0b5b,phone+venmo,10,False,0,7,7,0.0,58.774,6,6,0,0,0,False,1,0,0,0,0,0,0,0,0,0,0,0,False
base,原始 Qwen3-8B,60d0b5b_3,60d0b5b,phone+venmo,10,False,1,6,7,14.3,222.743,14,15,1,1,1,False,1,0,1,0,0,0,0,0,0,0,1,0,False
base,原始 Qwen3-8B,3c13f5a_1,3c13f5a,file_system+phone+venmo,13,False,1,5,6,16.7,541.667,27,50,1,0,0,True,16,0,0,0,2,0,1,8,7,0,0,0,False
base,原始 Qwen3-8B,3c13f5a_2,3c13f5a,file_system+phone+venmo,13,False,2,4,6,33.3,180.413,15,16,1,1,1,False,13,0,0,0,0,0,0,8,8,0,1,0,False
base,原始 Qwen3-8B,3c13f5a_3,3c13f5a,file_system+phone+venmo,13,False,1,5,6,16.7,707.974,31,35,3,3,4,False,28,0,0,2,1,2,1,2,1,0,0,0,False
lora,LoRA epoch5,e85d92a_1,e85d92a,spotify,7,True,2,0,2,100.0,19.138,8,8,0,0,0,False,1,0,0,0,0,0,0,0,0,1,0,0,False
lora,LoRA epoch5,e85d92a_2,e85d92a,spotify,7,True,2,0,2,100.0,16.791,9,9,0,0,0,False,2,0,0,0,0,0,0,0,0,1,0,0,False
lora,LoRA epoch5,e85d92a_3,e85d92a,spotify,7,True,2,0,2,100.0,11.275,6,6,0,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,False
lora,LoRA epoch5,302c169_1,302c169,phone,10,True,8,0,8,100.0,23.51,11,11,0,0,0,False,1,0,0,0,0,0,0,0,0,1,0,0,False
lora,LoRA epoch5,302c169_2,302c169,phone,10,False,7,1,8,87.5,46.57,19,19,0,0,0,False,10,0,3,0,1,0,0,0,0,1,0,0,True
